direccion,localidad,provincia,precio,fecha_vigencia
DOCTOR MARCOZ PAZ 824,MARCOS PAZ,BUENOS AIRES,369.0,2023-12-01 00:00:00
DOCTOR MARCOZ PAZ 824,MARCOS PAZ,BUENOS AIRES,369.0,2023-12-01 00:00:00
av los notros 99 R16,LAGO PUELO,CHUBUT,302.0,2023-12-05 13:01:00
av los notros 99 R16,LAGO PUELO,CHUBUT,302.0,2023-12-05 13:01:00
H. YRIGOYEN 3723,JOSE C. PAZ,BUENOS AIRES,365.0,2023-12-06 00:00:00
H. YRIGOYEN 3723,JOSE C. PAZ,BUENOS AIRES,365.0,2023-12-06 00:00:00
Rivadavia 400,MAIPU,MENDOZA,350.0,2023-12-06 16:13:00
Rivadavia 400,MAIPU,MENDOZA,350.0,2023-12-06 16:13:00
AV LA PLATA 1812,TRELEW,CHUBUT,368.0,2023-12-08 00:00:00
AV LA PLATA 1812,TRELEW,CHUBUT,368.0,2023-12-08 00:00:00
AVENIDA COLON 671,BAHIA BLANCA,BUENOS AIRES,478.0,2023-12-08 00:00:00
AVENIDA COLON 671,BAHIA BLANCA,BUENOS AIRES,478.0,2023-12-08 00:00:00
JUAN IGNACIO GORRITI 411,SAN PEDRO,JUJUY,450.0,2023-12-08 00:00:00
25 DE MAYO 505,TRELEW,CHUBUT,368.0,2023-12-08 00:00:00
25 DE MAYO 505,TRELEW,CHUBUT,368.0,2023-12-08 00:00:00
JUAN IGNACIO GORRITI 411,SAN PEDRO,JUJUY,450.0,2023-12-08 00:00:00
RUTA 92 Y ACCESO A LOS TELARES,LOS TELARES,SANTIAGO DEL ESTERO,454.0,2023-12-08 00:00:00
AV. ALEM  Y RUTA 22,CHIMPAY,RIO NEGRO,371.0,2023-12-08 00:00:00
AV. ALEM  Y RUTA 22,CHIMPAY,RIO NEGRO,371.0,2023-12-08 00:00:00
RURA NAC. 9 KM 211.0,VILLA RAMALLO,BUENOS AIRES,470.0,2023-12-08 00:00:00
RURA NAC. 9 KM 211.0,VILLA RAMALLO,BUENOS AIRES,470.0,2023-12-08 00:00:00
RUTA 92 Y ACCESO A LOS TELARES,LOS TELARES,SANTIAGO DEL ESTERO,454.0,2023-12-08 00:00:00
DUARTE QUIROS 1651,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
RUTA NACIONAL 34 Y 50,PICHANAL,SALTA,450.0,2023-12-08 13:00:00
"RUTA 51 KM.19,5",OLAVARRIA,BUENOS AIRES,475.0,2023-12-08 13:00:00
GOYCOCHEA 1169,CORDOBA,CORDOBA,466.0,2023-12-08 13:00:00
RUTA 5 KM 496,PELLEGRINI,BUENOS AIRES,475.0,2023-12-08 13:00:00
"RUTA NACIONAL Nº 12 KM Nº 1361,5",CANDELARIA,MISIONES,479.0,2023-12-08 13:00:00
"RUTA 51 KM.19,5",OLAVARRIA,BUENOS AIRES,475.0,2023-12-08 13:00:00
"RUTA NACIONAL Nº 12 KM Nº 1361,5",CANDELARIA,MISIONES,479.0,2023-12-08 13:00:00
DUARTE QUIROS 1651,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
RUTA NAC Nº 12 602,LA PAZ,ENTRE RIOS,466.0,2023-12-08 13:00:00
RUTA 7 KM  1146,USPALLATA,MENDOZA,430.0,2023-12-08 13:00:00
CRAMER 899,BERNAL,BUENOS AIRES,448.0,2023-12-08 13:00:00
CRAMER 899,BERNAL,BUENOS AIRES,448.0,2023-12-08 13:00:00
RUTA 1 KM 272 ACCESO ROMANG,ROMANG,SANTA FE,462.0,2023-12-08 13:00:00
Av. Enrique Perez 384,VILLA MERCEDES,SAN LUIS,456.0,2023-12-08 13:00:00
Av. Enrique Perez 384,VILLA MERCEDES,SAN LUIS,456.0,2023-12-08 13:00:00
AVENIDA AMÉRICA 272,VILLA ASCAZUBI,CORDOBA,460.0,2023-12-08 13:00:00
AVENIDA AMÉRICA 272,VILLA ASCAZUBI,CORDOBA,460.0,2023-12-08 13:00:00
ESPAÑA 902,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
ESPAÑA 902,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
RUTA 6 Y BUENOS AIRES,SUNCHO CORRAL,SANTIAGO DEL ESTERO,454.0,2023-12-08 13:00:00
RUTA 65 Y RUTA 33,GUAMINI,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA 65 Y RUTA 33,GUAMINI,BUENOS AIRES,475.0,2023-12-08 13:00:00
RUTA E-53 KM 12 - UNQUILLO - CORDOBA,UNQUILLO,CORDOBA,466.0,2023-12-08 13:00:00
ITALIA Y RUTA NAC. 178,LAS ROSAS,SANTA FE,462.0,2023-12-08 13:00:00
RUTA 16 ESQUINA SALTA,JOAQUIN V. GONZALEZ,SALTA,450.0,2023-12-08 13:00:00
RUTA 16 ESQUINA SALTA,JOAQUIN V. GONZALEZ,SALTA,450.0,2023-12-08 13:00:00
RUTA 6 Y BUENOS AIRES,SUNCHO CORRAL,SANTIAGO DEL ESTERO,454.0,2023-12-08 13:00:00
av.alem 1615,CORDOBA,CORDOBA,463.0,2023-12-08 13:00:00
Avenida Mitre Nro.101,CHIVILCOY,BUENOS AIRES,475.0,2023-12-08 13:00:00
Avenida Mitre Nro.101,CHIVILCOY,BUENOS AIRES,475.0,2023-12-08 13:00:00
ITALIA Y RUTA NAC. 178,LAS ROSAS,SANTA FE,462.0,2023-12-08 13:00:00
GUEMES 767,CHARATA,CHACO,469.0,2023-12-08 13:00:00
GUEMES 767,CHARATA,CHACO,469.0,2023-12-08 13:00:00
GOYCOCHEA 1169,CORDOBA,CORDOBA,466.0,2023-12-08 13:00:00
RUTA E-53 KM 12 - UNQUILLO - CORDOBA,UNQUILLO,CORDOBA,466.0,2023-12-08 13:00:00
RUTA 8 Y HIPOLITO IRIGOYEN,VENADO TUERTO,SANTA FE,462.0,2023-12-08 13:00:00
AV. INDEPENDENCIA 775,SALTA,SALTA,450.0,2023-12-08 13:00:00
LEANDRO N. ALEM Y MONSEÑOR GALLARDO,OLIVA,CORDOBA,460.0,2023-12-08 13:00:00
JUAN MANUEL DE ROSAS 7888,ISIDRO CASANOVA,BUENOS AIRES,449.0,2023-12-08 13:00:00
JUAN MANUEL DE ROSAS 7888,ISIDRO CASANOVA,BUENOS AIRES,449.0,2023-12-08 13:00:00
ITUZAINGO Y DEAN FUNES,VILLA DOLORES,CORDOBA,460.0,2023-12-08 13:00:00
SAN MARTÍN 1002,CACHARI,BUENOS AIRES,475.0,2023-12-08 13:00:00
"RUTA 210 KM 32,5",GLEW,BUENOS AIRES,449.0,2023-12-08 13:00:00
"RUTA 210 KM 32,5",GLEW,BUENOS AIRES,449.0,2023-12-08 13:00:00
Av. Arijón 1993,ROSARIO,SANTA FE,466.0,2023-12-08 13:00:00
9 DE JULIO 284,SAN BASILIO,CORDOBA,460.0,2023-12-08 13:00:00
RUTA 8 Y RUTA 197,MALVINAS ARGENTINAS,BUENOS AIRES,453.0,2023-12-08 13:00:00
CARRIL RETAMO S/N PHILIPPS,JUNIN,MENDOZA,430.0,2023-12-08 13:00:00
9 DE JULIO 284,SAN BASILIO,CORDOBA,460.0,2023-12-08 13:00:00
RUTA 8 Y RUTA 202,SAN MIGUEL,BUENOS AIRES,449.0,2023-12-08 13:00:00
SAN MARTÍN 1002,CACHARI,BUENOS AIRES,475.0,2023-12-08 13:00:00
Calle 15 N° 1585,VICTORICA,LA PAMPA,381.0,2023-12-08 13:00:00
21 1411,BERAZATEGUI,BUENOS AIRES,450.0,2023-12-08 13:00:00
