id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
100953,Villa Etxe Gorria (Room 2) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.47871,-1.55767,Private room,109,1,33,2023-08-15,0.25,5,189,5,
111027,Villa Etxe Gorria (Room 4) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.47943,-1.55916,Private room,89,1,93,2023-10-08,0.60,5,178,20,
327264,Villa de la Corniche on the Basque Coast,1673093,Sonia,Hendaye,Urrugne,43.37056,-1.72667,Entire home/apt,450,5,53,2023-09-16,0.37,1,250,14,6454500065969
352381,[DeepCleaned]  ★ 2BR duplex ★ near BEACH & FOREST,1784503,Eric,Anglet,Anglet,43.501858,-1.512803,Entire home/apt,92,3,52,2023-08-19,0.53,9,151,1,640240001849D
356862,"Guethary, facing the ocean , duplex",1806320,Lili,Saint-Jean-de-Luz,GuÃ©thary,43.42512,-1.60948,Entire home/apt,190,7,22,2024-01-02,0.18,1,265,3,64249000100F2
368497,Nice house very closed to the beautiful beach,1860152,Daniel,Biarritz,Biarritz,43.47581,-1.56473,Entire home/apt,260,2,84,2024-03-03,0.58,1,233,14,64122172724RS
404942,"Charming villa BIDART, next beach",1765616,Guillaume,Saint-Jean-de-Luz,Bidart,43.44018,-1.57464,Entire home/apt,138,3,0,,,1,82,0,6412500073493
467058,FLAT IN SAINT JEAN DE LUZ 4 PERSONS,2319191,Gene,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.38847,-1.66194,Entire home/apt,84,5,223,2024-03-22,1.55,1,269,20,64483001359FC
967484,SPECIAL BEACH & GOLF- ROOM TO RENT,3307164,Françoise,Biarritz,Biarritz,43.49093,-1.54457,Private room,35,3,167,2023-10-01,1.26,1,102,14,64024001237B9
488614,Apartamento acogedor y luminoso en  Hendaya,2417648,Ascen,Hendaye,Hendaye,43.36049,-1.7728,Entire home/apt,88,5,52,2024-01-01,0.40,1,36,7,6426000130468
989153,"Vue océan, 2 terrasses, plage à pied, parking",853869,Betty,Anglet,Anglet,43.50097,-1.53587,Entire home/apt,150,7,116,2023-09-03,0.88,2,93,8,64024001777C3
507979,On the riverbanks of l'Adour,2503298,Marion,Bayonne,Bayonne,43.49455,-1.4705,Entire home/apt,85,5,44,2023-08-19,0.34,1,35,4,64102001554EE
514093,Apartment view of the Basque ocean,2532320,Chantal,Saint-Jean-de-Luz,Bidart,43.43488,-1.59683,Entire home/apt,130,7,33,2023-10-07,0.23,1,194,2,6412500046127
991402,Gorgeous Villa with magical garden!,5444688,Cristina,Saint-Jean-de-Luz,Ascain,43.34198,-1.63409,Entire home/apt,161,2,92,2023-08-14,0.71,1,308,4,6406500018313
514652,2-bedroom  flat in central Biarritz,1547905,Regine,Biarritz,Biarritz,43.48067,-1.55336,Entire home/apt,80,7,97,2023-09-30,0.68,1,209,3,64122002367A1
998124,Large appartment by the beach,4127354,Charles,Biarritz,Biarritz,43.48786,-1.55328,Entire home/apt,500,4,53,2023-11-26,0.40,1,194,8,64122002567AB
587663,Villa Etxe Gorria (Room 1) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.47922,-1.55907,Private room,109,1,44,2023-08-20,0.31,5,201,7,
587736,Villa Etxe Gorria (Room 3) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.48016,-1.55796,Private room,85,2,139,2023-09-11,0.99,5,208,9,
587756,Etxe Gorria (Room 5) Biarritz center,529684,Suliane,Biarritz,Biarritz,43.4792,-1.55941,Private room,89,1,67,2023-09-11,0.52,5,332,16,
619573,Vintage Loft,3070456,Cecile Et Hugo,Biarritz,Biarritz,43.47045,-1.55628,Entire home/apt,430,14,10,2019-08-24,0.09,1,266,0,64122002232C9
998287,CHARMING BASQUE VILLA ON 6000 M2,5486650,Jean-Pierre,Ustaritz,Saint-PÃ©e-sur-Nivelle,43.31639,-1.53508,Entire home/apt,400,7,2,2023-08-05,0.05,1,317,1,
1008581,Center Biarritz villa with terraces facing Ocean,5547449,Anne-Cécile,Biarritz,Biarritz,43.480226977090766,-1.5665192068557563,Entire home/apt,570,6,16,2023-09-02,0.15,2,339,2,Exempt - hotel-type listing
626489,Villa Basque near Bayonne Biarritz,3109965,Bernard,Saint-Pierre-d'Irube,Lahonce,43.48573,-1.40149,Entire home/apt,300,6,9,2023-07-30,0.08,1,182,1,64304000016C8
1013413,"Beautiful Villa, 300 m from beach",5574918,Maria Ainhoa,Hendaye,Hendaye,43.3723,-1.77343,Entire home/apt,800,2,65,2023-12-30,0.49,1,125,7,642600007391D
661562,Flat Bayonne historical center,2361360,Marguerite,Bayonne,Bayonne,43.49033,-1.47896,Entire home/apt,153,6,63,2023-11-04,0.45,1,193,4,641020009723D
663153,Stylish beach home in town center,3348817,Pascoe,Biarritz,Biarritz,43.48409,-1.55627,Entire home/apt,72,2,336,2024-03-20,2.84,1,43,57,641220026649E
664467,Bel appartement à 100 m de la plage,3357149,Marie,Saint-Jean-de-Luz,Saint-Jean-de-Luz,43.38738,-1.66062,Entire home/apt,199,6,85,2023-08-19,0.64,2,20,2,64483220077MT
1016608,"CALME, PARC ARBORÉ, PARKING,WIFI,près plage Socoa",5587713,Lourdes,Hendaye,Urrugne,43.37808,-1.6787,Entire home/apt,130,3,7,2023-08-11,0.10,1,365,3,Exempt - hotel-type listing
